system:index,bare-coverfraction,crops-coverfraction,grass-coverfraction,grid_id,heterogeneity,shrub-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
000000000000000000a8,0.03720155573737008,0.017195900450634127,82.01822088194258,37,60.153120021414566,7.262251212104957,9.897166048570831,0.0,0.003801469935183895,29.23342274460914,"{""type"":""Polygon"",""coordinates"":[[[-81.03123920159967,26.110988551467855],[-81.03117676111684,25.885242116756483],[-80.968786078936,25.885202034580626],[-80.90639549538317,25.88516186840936],[-80.84400483009746,25.88512176640656],[-80.78161423888271,25.88508162935121],[-80.78119505554903,26.110828087010518],[-80.84370608038562,26.110868183667804],[-80.9062171620727,26.11090829811056],[-80.96872814297035,26.11094844018869],[-81.03123920159967,26.110988551467855]]]}"
000000000000000000a9,0.0028635802658913295,0.010735602572202801,93.81852499264333,38,10.95150550060632,3.048204019427667,2.370679610919498,0.0,0.046587451821391325,28.797898618968688,"{""type"":""Polygon"",""coordinates"":[[[-80.78161423888271,25.88508162935121],[-80.719224722596,25.884934474561252],[-80.65683525196225,25.88478736052597],[-80.59444572514364,25.88464017152586],[-80.53205620822379,25.88449298132785],[-80.53115990301833,26.11023053746782],[-80.59366871439973,26.110379894252706],[-80.65617752755436,26.11052930381742],[-80.71868627459406,26.110678692579466],[-80.78119505554903,26.110828087010518],[-80.78161423888271,25.88508162935121]]]}"
000000000000000000aa,0.5625020196452254,1.5573979251694356,51.6030132008719,39,709.2567056063664,5.341000821662264,5.494562879752121,28.954712573503254,5.703906362502072,23.264334304540835,"{""type"":""Polygon"",""coordinates"":[[[-80.53205620822379,25.88449298132785],[-80.46966888746573,25.884237689541678],[-80.40728162364,25.883982478475023],[-80.3448943092688,25.88372714225695],[-80.28250709037906,25.883471849166156],[-80.28113806945788,26.109200527774913],[-80.34364357420444,26.109457965312885],[-80.40614900515523,26.109715489134825],[-80.46865446944945,26.109973037614893],[-80.53115990301833,26.11023053746782],[-80.53205620822379,25.88449298132785]]]}"
000000000000000000ab,0.7391923387309597,1.2212620379040267,12.84177375612086,40,5159.712413501315,2.780320585951255,4.042368000943474,73.99805691073526,3.796262382676341,1.9372818720614038,"{""type"":""Polygon"",""coordinates"":[[[-80.28250709037906,25.883471849166156],[-80.22012419716779,25.883109589863704],[-80.15774143938535,25.882747278342855],[-80.09535861896016,25.8823849701788],[-80.03297579185609,25.882022648659603],[-80.03112522484363,26.107737906669424],[-80.09362845468252,26.108103550947643],[-80.15613168239726,26.108469234078004],[-80.21863485024079,26.10883488362778],[-80.28113806945788,26.109200527774913],[-80.28250709037906,25.883471849166156]]]}"
000000000000000000ac,0.45434191797425105,0.5816787839225485,18.703810248823,41,2842.311517292153,3.720079231328916,9.618688942216858,53.93899412124479,12.215501358865913,1.7021567904952315,"{""type"":""Polygon"",""coordinates"":[[[-82.03332852029067,26.333007204186448],[-82.03133523997397,26.107305372373432],[-81.96883431809958,26.10769775748105],[-81.90633328025001,26.108090134951233],[-81.84383230692647,26.10848258591313],[-81.78133132733966,26.10887499826212],[-81.7828429582049,26.33459468250595],[-81.84546436234129,26.334197836903165],[-81.90808571179464,26.333800915484805],[-81.9707070754348,26.333404119911812],[-82.03332852029067,26.333007204186448]]]}"
000000000000000000ad,0.7046619054969302,1.4701846490551072,40.020730978850864,42,1521.3953621495,8.984099838993666,22.727414561850637,23.63733006802925,1.4796216539103966,1.402215939251791,"{""type"":""Polygon"",""coordinates"":[[[-81.7828429582049,26.33459468250595],[-81.78133132733966,26.10887499826212],[-81.71882584290873,26.109159240001645],[-81.65632044844024,26.109443520988208],[-81.59381498473493,26.109727813265994],[-81.53130954167162,26.110012013641125],[-81.53233953089176,26.335745087705998],[-81.5949654053414,26.33545748174041],[-81.6575912599035,26.33516992528596],[-81.7202170863098,26.33488225818199],[-81.7828429582049,26.33459468250595]]]}"
000000000000000000ae,0.3849861530782146,3.9024264977406005,36.339487241913396,43,1377.635964913527,10.106054526156685,47.079430850257665,0.8345695218380401,0.4482477769156893,2.3494014308433546,"{""type"":""Polygon"",""coordinates"":[[[-81.53233953089176,26.335745087705998],[-81.53130954167162,26.110012013641125],[-81.46880186181758,26.110188163980023],[-81.4062941232283,26.11036429203149],[-81.34378649543359,26.110540478302564],[-81.28127881104315,26.11071660413329],[-81.28182284356747,26.336454137713012],[-81.34445202889684,26.336276862759902],[-81.4070812070006,26.336099583279385],[-81.46971037559251,26.335922407954317],[-81.53233953089176,26.335745087705998]]]}"
000000000000000000af,0.06977281925624251,1.619764191345104,56.18657685272601,44,862.0049894685385,10.254495141701675,30.617008907141606,0.4012414779768635,0.0038402048109232386,9.69041862624827,"{""type"":""Polygon"",""coordinates"":[[[-81.28182284356747,26.336454137713012],[-81.28127881104315,26.11071660413329],[-81.2187688831274,26.110784582894773],[-81.15625897516202,26.110852580140076],[-81.09374908314156,26.110920576274758],[-81.03123920159967,26.110988551467855],[-81.03129717598473,26.336730606335692],[-81.09392859319124,26.33666144626442],[-81.15655999404056,26.336592315555485],[-81.21919138212547,26.336523234198015],[-81.28182284356747,26.336454137713012]]]}"
000000000000000000b0,0.11424995922668692,1.691705453587425,65.94550991732429,45,866.6289361879024,9.320262141038038,21.67763050596538,0.36786561116059674,0.04806671768558131,13.056763665332664,"{""type"":""Polygon"",""coordinates"":[[[-81.03129717598473,26.336730606335692],[-81.03123920159967,26.110988551467855],[-80.96872814297035,26.11094844018869],[-80.9062171620727,26.11090829811056],[-80.84370608038562,26.110868183667804],[-80.78119505554903,26.110828087010518],[-80.780775954566,26.336565567638374],[-80.84340623151985,26.33660688237789],[-80.90603654960505,26.336648088988543],[-80.96866683368543,26.33668938126327],[-81.03129717598473,26.336730606335692]]]}"
000000000000000000b1,0.0024693193889414856,0.12555003610959978,92.56822267356591,46,60.07205466642008,3.900209504699272,2.4856003950409025,0.2735912393279029,0.0035566857975390196,28.555417098821025,"{""type"":""Polygon"",""coordinates"":[[[-80.78119505554903,26.110828087010518],[-80.71868627459406,26.110678692579466],[-80.65617752755436,26.11052930381742],[-80.59366871439973,26.110379894252706],[-80.53115990301833,26.11023053746782],[-80.53025468508456,26.335963650236515],[-80.5928850029476,26.336114155218503],[-80.65551531080297,26.33626458432433],[-80.71814562352142,26.33641513736248],[-80.780775954566,26.336565567638374],[-80.78119505554903,26.110828087010518]]]}"
